CEP;Rua;Bairro;Cidade;Latitude;Longitude
13474-580; Avenida Affonso Arinos; Antônio Zanaga; Americana/SP;-22.702197;-47.2979574,16
13474-510; Avenida Afonso Schimidt; Antônio Zanaga; Americana/SP;-22.7011654;-47.3030079,16
13474-560; Avenida Maria Quitéria; Antônio Zanaga; Americana/SP;-22.701106;-47.3065979,17
13474-570; Avenida Nicolau João Abdalla; Antônio Zanaga; Americana/SP;-22.698642;-47.3018139,17
13474-534; Rua Aderaldo Ferreira de Araújo; Antônio Zanaga; Americana/SP;-22.7030238;-47.303865,17
13474-540; Rua Alcides Maya; Antônio Zanaga; Americana/SP;-22.7029905;-47.3049529,17
13474-505; Rua Amadeu Amaral; Antônio Zanaga; Americana/SP;-22.7022465;-47.298894,17
13474-500; Rua Aníbal Machado; Antônio Zanaga; Americana/SP;-22.7035556;-47.2996449,17
13474-551; Rua Breno Accioly; Antônio Zanaga; Americana/SP;-22.700096;-47.3034659,17
13474-496; Rua Cacilda Becker; Antônio Zanaga; Americana/SP;-22.703448;-47.3014009,17
13474-532; Rua Caldas Júnior; Antônio Zanaga; Americana/SP;-22.7018114;-47.3029175,17
13474-555; Rua Carmem Miranda; Antônio Zanaga; Americana/SP;-22.7014173;-47.3056798,17
13474-504; Rua Carmen Cinira; Antônio Zanaga; Americana/SP;-22.7024606;-47.2973429,18
13474-545; Rua Cassiano Ricardo; Antônio Zanaga; Americana/SP;-22.7002644;-47.3010745,17
13474-491; Rua Catulo da Paixão Cearense; Antônio Zanaga; Americana/SP;-22.7047104;-47.3038789,17
13474-522; Rua Cid Franco; Antônio Zanaga; Americana/SP;-22.7010626;-47.2998524,17
13474-521; Rua Clóvis Brunelli; Antônio Zanaga; Americana/SP;-22.7015789;-47.3006378,17
13474-533; Rua Conde José; Antônio Zanaga; Americana/SP;-22.70347;-47.3014139,18
13474-494; Rua Cornélio Pires; Antônio Zanaga; Americana/SP;-22.704988;-47.3024443,17
13474-520; Rua Cruz e Souza; Antônio Zanaga; Americana/SP;-22.7012328;-47.3000692,17
13474-503; Rua Dalcídio Jurandir; Antônio Zanaga; Americana/SP;-22.7027253;-47.29896,17
13474-556; Rua Eneida de Morais; Antônio Zanaga; Americana/SP;-22.7018704;-47.3059632,17
13474-553; Rua Érico Veríssimo; Antônio Zanaga; Americana/SP;-22.7006295;-47.3042845,17
13474-557; Rua Eugênio Gomes; Antônio Zanaga; Americana/SP;-22.7014714;-47.3058981,18
13474-543; Rua Filipe Camarão; Antônio Zanaga; Americana/SP;-22.702637;-47.3043784,18
13474-541; Rua Franklin Távora; Antônio Zanaga; Americana/SP;-22.7034694;-47.3034536,18
13474-550; Rua Guimarães Rosa; Antônio Zanaga; Americana/SP;-22.701387;-47.3033734,18
13474-526; Rua Herculano Pires; Antônio Zanaga; Americana/SP;-22.7023695;-47.3014334,17
13474-525; Rua Humberto Melo Nóbrega; Antônio Zanaga; Americana/SP;-22.7017235;-47.3017939,17
13474-524; Rua Jerônimo Monteiro; Antônio Zanaga; Americana/SP;-22.7013198;-47.3015927,17
13474-542; Rua Jesus Gonçalves; Antônio Zanaga; Americana/SP;-22.703944;-47.3044815,17
13474-554; Rua Joaquim Cardozo; Antônio Zanaga; Americana/SP;-22.7008835;-47.3047174,17
13474-497; Rua Joracy Camargo; Antônio Zanaga; Americana/SP;-22.7038505;-47.3005879,17
13474-544; Rua José Veríssimo; Antônio Zanaga; Americana/SP;-22.7011146;-47.3037347,17
13474-502; Rua Leandro Gomes de Barros; Antônio Zanaga; Americana/SP;-22.7025611;-47.2996593,17
13474-495; Rua Lupe Cotrin Garaude; Antônio Zanaga; Americana/SP;-22.7040734;-47.3016334,17
13474-530; Rua Maria Cavalcante Proença; Antônio Zanaga; Americana/SP;-22.7030616;-47.3004517,18
13474-552; Rua Marques Rebelo; Antônio Zanaga; Americana/SP;-22.700377;-47.3038639,17
13474-501; Rua Orestes Barbosa; Antônio Zanaga; Americana/SP;-22.7029357;-47.2994035,17
13474-523; Rua Padre Cícero; Antônio Zanaga; Americana/SP;-22.7024792;-47.2994145,18
13474-492; Rua Ribeiro Couto; Antônio Zanaga; Americana/SP;-22.7050658;-47.3022314,18
13474-490; Rua Sousa Andrade; Antônio Zanaga; Americana/SP;-22.7053589;-47.302327,18
13474-531; Rua Teófilo Dias; Antônio Zanaga; Americana/SP;-22.7007894;-47.316016,14
13474-493; Rua Xico Santeiro; Antônio Zanaga; Americana/SP;-22.7039083;-47.3036656,17
13474-590; Avenida Cândido Portinari; Antônio Zanaga I; Americana/SP;-22.7034594;-47.2996179,16
13474-602; Rua Anália Franco; Antônio Zanaga I; Americana/SP;-22.7009065;-47.2993909,17
13474-640; Rua Anita Garibaldi; Antônio Zanaga I; Americana/SP;-22.7020565;-47.2955754,17
13474-664; Rua Anita Malfati; Antônio Zanaga I; Americana/SP;-22.699088;-47.2984349,17
13474-620; Rua Ari Barroso; Antônio Zanaga I; Americana/SP;-22.7002026;-47.29611,17
13474-652; Rua Aura Celeste; Antônio Zanaga I; Americana/SP;-22.7009;-47.2934945,18
13474-612; Rua Bastos Tigre; Antônio Zanaga I; Americana/SP;-22.701675;-47.297719,17
13474-661; Rua Belmiro Braga; Antônio Zanaga I; Americana/SP;-22.7000415;-47.2966199,17
13474-650; Rua Benedito Calixto; Antônio Zanaga I; Americana/SP;-22.7011398;-47.2959585,17
13474-636; Rua Bittencourt Sampaio; Antônio Zanaga I; Americana/SP;-22.7026125;-47.2950804,17
